group_k,group_l,site_a (on k),site_b (on l),epsilon_HB_kl_ab/kB [K],K_kl_ab [Ang3],K_kl_ab [m3],F_kl_ab (Mayer-f at T_ref),g_HS (Boublik at eta_ref),Delta_kl_ab [m3],Delta_kl_total [m3],source
NH2_2nd,NH2_2nd,e,H,1070.8189,95.224709,9.522471e-29,35.290070,3.319023,1.115353e-26,2.230707e-26,self
NH2_2nd,NH_2nd,e,H,1211.3328,38.024244,3.802424e-29,57.138613,3.181968,6.913311e-27,6.913311e-27,CR-1
NH2_2nd,CH2OH,e,e1,1498.8232,77.607325,7.760733e-29,151.486733,3.566253,4.192659e-26,8.385317e-26,CR-1
NH2_2nd,CH2OH_Short,H,e,629.8818,346.079404,3.460794e-28,7.269994,3.566253,8.972676e-27,3.321432e-25,database
NH2_2nd,CH2OH_Short,e,H,2403.7801,26.191867,2.619187e-29,3171.635978,3.566253,2.962525e-25,3.321432e-25,database
NH2_2nd,NH2,e,H,1070.8189,95.224709,9.522471e-29,35.290070,3.319023,1.115353e-26,2.230707e-26,CR-1
NH2_2nd,NH,e,H,1211.3328,38.024244,3.802424e-29,57.138613,3.181968,6.913311e-27,6.913311e-27,CR-1
NH2_2nd,CHOH,e,H,1470.3000,303.470000,3.034700e-28,137.574816,3.606163,1.505567e-25,3.968588e-25,database
NH2_2nd,CHOH,H,e,1524.9000,103.220000,1.032200e-28,165.424152,3.606163,6.157552e-26,3.968588e-25,database
NH2_2nd,OH_Short,e,H,1521.1954,72.916065,7.291606e-29,163.369057,3.536768,4.213079e-26,4.213079e-26,CR-1
NH_2nd,NH_2nd,e,H,1370.2850,10.062070,1.006207e-29,98.083065,3.050469,3.010565e-27,3.010565e-27,self
NH_2nd,CH2OH,e,e1,1695.5002,28.699539,2.869954e-29,293.929278,3.423042,2.887553e-26,5.775106e-26,CR-1
NH_2nd,CH2OH_Short,e,H,1390.1000,947.930000,9.479300e-28,104.891845,3.423042,3.403535e-25,3.623243e-25,database
NH_2nd,CH2OH_Short,H,e,341.1300,1499.800000,1.499800e-27,2.139789,3.423042,1.098542e-26,3.623243e-25,database
NH_2nd,NH2,e,H,1211.3328,38.024244,3.802424e-29,57.138613,3.181968,6.913311e-27,1.382662e-26,CR-1
NH_2nd,NH,e,H,1370.2850,10.062070,1.006207e-29,98.083065,3.050469,3.010565e-27,3.010565e-27,CR-1
NH_2nd,CHOH,e,e,1843.6727,9.245316,9.245316e-30,483.786495,3.482157,1.557485e-26,3.114970e-26,CR-1
