group,nu (segments),S_k (shape factor),epsilon_kk/kB [K],sigma_kk [Ang],sigma_kk [m],lambda_r,lambda_a,d_kk [Ang],d_kk [m],C_kk (Mie prefactor),association_sites
NH2_2nd,1.0000,0.796746,284.7837,3.247740,3.247740e-10,10.2538,6.0000,3.160447,3.160447e-10,5.133113,e=1; H=2
NH_2nd,1.0000,0.365890,100.0029,3.256791,3.256791e-10,19.9990,6.0000,3.118697,3.118697e-10,2.393365,e=1; H=1
N_2nd,1.0000,0.150695,62.9706,3.075488,3.075488e-10,8.8971,6.0000,2.803247,2.803247e-10,6.944421,e=1
CH3,1.0000,0.572551,256.7662,4.077257,4.077257e-10,15.0498,6.0000,4.006071,4.006071e-10,3.059701,none
CH2,1.0000,0.229320,473.3893,4.880081,4.880081e-10,19.8711,6.0000,4.875443,4.875443e-10,2.404751,none
CH,1.0000,0.072100,95.6210,5.295000,5.295000e-10,8.0000,6.0000,4.878323,4.878323e-10,9.481481,none
C,1.0000,0.040720,50.0200,5.657100,5.657100e-10,8.0000,6.0000,5.109297,5.109297e-10,9.481481,none
CH2OH,2.0000,0.585380,407.2200,3.405400,3.405400e-10,22.6990,6.0000,3.402446,3.402446e-10,2.192509,H=1; e1=2
CH2OH_Short,2.0000,0.585380,407.2200,3.405400,3.405400e-10,22.6990,6.0000,3.402446,3.402446e-10,2.192509,e=2; H=1
NH2,1.0000,0.796746,284.7837,3.247740,3.247740e-10,10.2538,6.0000,3.160447,3.160447e-10,5.133113,e=1; H=2
NH,1.0000,0.365890,100.0029,3.256791,3.256791e-10,19.9990,6.0000,3.118697,3.118697e-10,2.393365,e=1; H=1
N,1.0000,0.150695,62.9706,3.075488,3.075488e-10,8.8971,6.0000,2.803247,2.803247e-10,6.944421,e=1
OH,1.0000,0.963400,410.3100,2.799000,2.799000e-10,20.7020,6.0000,2.794928,2.794928e-10,2.334217,H=1; e1=2
OH_Short,1.0000,0.963400,410.3090,2.799800,2.799800e-10,20.7020,6.0000,2.795727,2.795727e-10,2.334217,e=2; H=1
cCH2,1.0000,0.247510,477.3620,4.785200,4.785200e-10,20.3860,6.0000,4.781462,4.781462e-10,2.360112,none
cCH,1.0000,0.096095,699.9232,5.411600,5.411600e-10,8.0000,6.0000,5.379525,5.379525e-10,9.481481,none
cNH,1.0000,0.165290,631.9247,4.981000,4.981000e-10,19.4909,6.0000,4.979908,4.979908e-10,2.439818,H=1; e=1
cN,1.0000,0.071900,174.0414,4.612000,4.612000e-10,7.0024,6.0000,4.334307,4.334307e-10,17.612296,e=1
cCHNH,1.0000,0.153460,691.5576,5.500000,5.500000e-10,9.2374,6.0000,5.476116,5.476116e-10,6.348430,e=1; H=1
cCHN,1.0000,0.102639,709.9852,4.445428,4.445428e-10,8.0016,6.0000,4.420202,4.420202e-10,9.475022,e=1
