Iteration,Source_Molecule,Source_groups,Source_Loading,Source_Loading(g/g),Source_MolWt,Source_NumN,Source_NumO,Source_CH3,Source_CH2,Source_CH,Source_C,Source_CH2OH,Source_CHOH,Source_OH,Source_NH2,Source_NH,Source_N,Source_NH2_2nd,Source_NH_2nd,Source_N_2nd,Source_CH2OH_short,NH2_2nd,NH_2nd,N_2nd,CH3,CH2,CH,C,CH2OH,CH2OH_short,NH2,NH,N,CHOH,OH,Time_Direct_Init,Desorber_Pressure_init,Lean_loading_init,Absorber_temperature_init,Desorber_Pressure_opt_SAFT,Lean_loading_opt_SAFT,Absorber_temperature_opt_SAFT,TAC_SAFT,Opt_time_SAFT,Failed_Feasibility,Failed_Init,Failed_Opt,Init_Attempts,Init_Candidates_Tried,Cost_OPEX_year,Cost_CAPEX_year,Cost_CO2_w_capture,Cost_FOM_dollar,Cost_VC_dollar,Cost_U_dollar_CW,Cost_U_dollar_steam,Cost_U_dollar_Electricity,Cost_Aminemakeup_dollar,Parasitic_Energy,Cost_OPEX,Cost_CAPEX,Energy_per_tonCO2_GJ,Avg_Sigma_Liq,Avg_Mu_Liq,Elapsed_Total_WallTime_sec
0,NCCO,"{""CH2"":1,""NH2"":1,""CH2OH"":1}",2.41802648310388,0.6599566231195342,161.24899999999997,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,297.76980996131897,0.18099999997352,0.25,313.15,0.286021704,0.3273487,333.14779999999996,43.5126,528.989,0,0,0,1,"[{""group_vector"": [2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0], ""distance"": 2.0}]",401718584.1917597,20956185.278252117,12451725.808461903,9034745.5986373,392683838.5931224,198583215.0434226,180218450.7745357,437590.0331180653,13444582.742046041,30.945972485722983,290.35872724316243,15.146949941356482,4.702539406929851,56.87803775442118,1.6908178871705224,862.2964105606079
1,CNCCNCCNCCO,"{""CH2"":5,""NH"":3,""CH3"":1,""CH2OH"":1}",2.41802648310388,0.6599566231195342,161.24899999999997,3,1,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,3,0,0,0,369.79839181900024,0.311317704,0.61598347,333.15,0.307558768,0.9530263099999998,333.15,41.050700000000006,756.564,0,0,0,1,"[{""group_vector"": [0, 0, 0, 1, 5, 0, 0, 1, 0, 0, 2, 0, 1, 0], ""distance"": 1.4142135623730951}]",381289583.0210402,16765446.082923785,12451725.808461903,7482046.866220561,373807536.1548196,190940031.92389262,182584925.70476288,282538.3248330236,40.201331087807795,31.35232859279319,275.5928214269962,12.117919802231219,4.7642891421383995,63.25803470148414,9.179333006135407,13201.668256998062
2,CNCC(CNC)NCCO,"{""CH2"":3,""NH"":3,""CH3"":2,""CH"":1,""CH2OH"":1}",2.392995256570713,0.6531248022727402,161.249,3,1,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,2,3,1,0,1,0,0,3,0,0,0,325.17755341529846,0.313134552,0.6583234399999999,333.15,0.320101368,0.78448681,333.15,475.34,674.787,0,0,0,1,"[{""group_vector"": [0, 0, 0, 2, 3, 1, 0, 1, 0, 0, 2, 0, 0, 0], ""distance"": 1.0}]",1836167850.5324287,3960153830.738616,12451725.808461903,1468652690.6647918,367515159.8676355,188253743.0545914,179028708.57362294,232643.95679676908,64.28262434218298,30.741677480098886,1327.166282730182,2862.365026736011,4.671494807668681,59.49395693627929,9.36166292902047,6210.092162847519
3,CN(C)CCNCCNCCO,"{""CH2"":5,""NH"":2,""CH3"":2,""N"":1,""CH2OH"":1}",2.392995256570713,0.6008564848677348,175.27599999999998,3,1,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,2,1,0,0,243.99613881111145,0.324404416,0.6583426499999999,333.15,0.308019304,0.6195655699999999,333.15,38.787,316.459,0,0,0,1,"[{""group_vector"": [0, 0, 0, 2, 5, 1, 0, 1, 0, 0, 2, 0, 0, 0], ""distance"": 1.4142135623730951}]",357187524.9674024,18229858.83045114,12451725.808461903,8024672.036616459,349162852.93078595,176357808.8939217,172497185.2903886,307676.4993717277,182.2471038424985,29.620125613771403,258.1720617813471,13.176384703441101,4.501064169214684,55.39530399574858,7.019220413626356,12342.919700145721
4,NCCNCCNCCO,"{""CH2"":5,""NH"":2,""NH2"":1,""CH2OH"":1}",1.9574519148936167,0.5851534334166637,147.222,3,1,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,2,0,0,0,331.3158016204834,0.313709664,0.70046679,333.15,0.309643208,1.04699711,333.15,38.8219,813.85,0,0,0,1,"[{""group_vector"": [0, 0, 0, 0, 5, 0, 0, 1, 0, 1, 1, 0, 0, 0], ""distance"": 1.0}]",359735944.1809413,16030991.939471435,12451725.808461903,7209895.658639727,352526048.52230155,175616446.72082824,176554863.60212252,354735.6684969644,2.530853843612957,30.316884468656504,260.01403720504806,11.587062683085607,4.606943406770936,72.49594422365477,7.370449257005511,6611.419478416443
5,CNCC(CN)NCCO,"{""CH2"":3,""NH"":2,""CH3"":1,""CH"":1,""NH2"":1,""CH2OH"":1}",1.9474394242803503,0.5821603365161335,147.222,3,1,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,2,0,0,0,360.13974499702454,0.308233576,0.60961705,333.15,0.310934544,0.6806578899999999,333.15,1460.65,687.832,0,0,0,1,"[{""group_vector"": [0, 0, 0, 1, 3, 1, 0, 2, 0, 0, 2, 0, 0, 0], ""distance"": 1.4142135623730951}]",4547185630.142178,10796939265.848114,12451725.808461903,4001933503.654913,545252126.4872612,312155558.3632927,232900268.86933517,196294.9300199799,4.324613370555481,39.992161076585525,3286.6665473366056,7803.934561954203,6.07719513476978,67.79116945928673,8.067724765343279,5988.545275449753
6,CCNCCNCCCNCCO,"{""CH2"":7,""NH"":3,""CH3"":1,""CH2OH"":1}",2.4981264080100125,0.5807754933441132,189.303,3,1,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,3,0,0,0,264.9324862957001,0.3194526,1.04647957,333.15,0.317534072,0.942306,333.15,46.511500000000005,413.287,0,0,0,1,"[{""group_vector"": [0, 0, 0, 0, 7, 0, 0, 1, 0, 1, 2, 0, 0, 0], ""distance"": 1.7320508075688772}]",432761144.7919695,19902143.49468886,12451725.808461903,8644319.112081526,424116825.67988795,221393377.69301006,202381450.77037814,341975.54640628805,21.670093467223655,34.75166266408583,312.79602225748295,14.385097632849769,5.28085078630547,59.03750999506432,10.617220015129453,15949.50800204277
7,CCNC(CCNCCO)CNC,"{""CH2"":5,""NH"":3,""CH3"":2,""CH"":1,""CH2OH"":1}",2.47810142678348,0.5761199970034334,189.303,3,1,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,2,5,1,0,1,0,0,3,0,0,0,320.1839175224304,0.324404416,0.6583426499999999,333.15,0.314776808,0.93370557,333.15,45.094300000000004,731.856,0,0,0,1,"[{""group_vector"": [0, 0, 0, 2, 5, 1, 0, 1, 0, 0, 2, 0, 0, 0], ""distance"": 1.0}]",418420555.07595825,20070757.111056853,12451725.808461903,8706796.924016617,409713758.1519416,212350122.07923207,197031321.96364468,332278.99047108594,35.118593733418045,33.83297238494577,302.4307677193215,14.506970100221372,5.141246925337387,55.70179711610125,10.421087089929593,7038.1515390872955
8,CNCC(CNCCO)NCCO,"{""CH2"":4,""NH"":3,""CH3"":1,""CH"":1,""CH2OH"":2}",2.483107672090112,0.571332210945946,191.275,3,2,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,1,4,1,0,2,0,0,3,0,0,0,330.076229095459,0.312312432,0.61225108,333.15,0.307392112,0.8901858799999999,333.15,38.733599999999996,424.017,0,0,0,1,"[{""group_vector"": [0, 0, 0, 1, 4, 1, 0, 2, 0, 0, 2, 0, 0, 0], ""distance"": 1.0}]",358745345.7458576,16138251.565204887,12451725.808461903,7249658.978256169,351495686.76760143,174937981.57492617,176270835.17144334,286870.01463315997,0.006598756021418834,30.268112903019432,259.2980412015307,11.664589015294517,4.599532096318443,64.28134355201429,8.960829616018788,5283.728663682938
9,CNCCNCCN(C)CCCO,"{""CH2"":6,""NH"":2,""CH3"":2,""N"":1,""CH2OH"":1}",2.4280389737171464,0.5644812561517336,189.3029999999999,3,1,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,1,1,0,0,1,2,6,0,0,0,1,0,2,0,0,0,325.37916326522827,0.326388416,0.68576775,333.15,0.326328648,1.1005557199999998,333.15,49.179899999999996,761.973,0,0,0,1,"[{""group_vector"": [0, 0, 1, 2, 5, 0, 0, 0, 1, 0, 1, 0, 0, 0], ""distance"": 1.4142135623730951}]",453164901.3510758,26182587.006224383,12451725.808461903,10971450.366228687,442193450.9848472,223897955.64566335,217769206.16826007,525499.3623733743,789.8085503589243,37.39395069349316,327.54368148614697,18.924548024971905,5.682371972575585,53.61155394170241,9.620292526014223,15805.175260305405
