Group_k,Site_a,Group_l,Site_b,eps_HB_kl_ab/kB [K],K_kl_ab [A^3],source
NH2_2nd,e,NH2_2nd,H,1070.8189,95.224709,self
NH2_2nd,e,NH_2nd,H,1211.3328,38.024244,CR-1
NH2_2nd,e,CH2OH,e1,1498.8232,77.607325,CR-1
NH2_2nd,H,CH2OH_Short,e,629.8818,346.079404,database
NH2_2nd,e,CH2OH_Short,H,2403.7801,26.191867,database
NH2_2nd,e,NH2,H,1070.8189,95.224709,CR-1
NH2_2nd,e,NH,H,1211.3328,38.024244,CR-1
NH2_2nd,e,OH,e1,1521.1968,72.917384,CR-1
NH2_2nd,e,OH_Short,H,1521.1954,72.916065,CR-1
NH2_2nd,e,cNH,e,1272.2596,91.385554,CR-1
NH2_2nd,e,cCHNH,H,1176.9266,224.960476,CR-1
NH_2nd,e,NH_2nd,H,1370.2850,10.062070,self
NH_2nd,e,CH2OH,e1,1695.5002,28.699539,CR-1
NH_2nd,e,CH2OH_Short,H,1390.1000,947.930000,database
NH_2nd,H,CH2OH_Short,e,341.1300,1499.800000,database
NH_2nd,e,NH2,H,1211.3328,38.024244,CR-1
NH_2nd,e,NH,H,1370.2850,10.062070,CR-1
NH_2nd,e,OH,e1,1720.8097,26.302867,CR-1
NH_2nd,e,OH_Short,H,1720.8081,26.302198,CR-1
NH_2nd,e,cNH,e,1439.2067,35.952608,CR-1
NH_2nd,e,cCHNH,H,1331.3641,116.074203,CR-1
N_2nd,e,CH2OH_Short,H,1210.9000,950.430000,database
CH2OH,H,CH2OH,e1,2097.9000,62.309000,self
CH2OH,H,CH2OH_Short,H,2097.9060,62.309000,CR-1
CH2OH,H,NH2,e,2403.8000,26.192000,database
CH2OH,e1,NH2,H,629.8800,346.080000,database
CH2OH,e1,NH,H,341.1300,1499.800000,database
CH2OH,H,NH,e,1390.1000,947.930000,database
CH2OH,H,N,e,1247.2000,286.830000,database
CH2OH,H,OH,e1,2129.2163,58.264019,CR-1
CH2OH,H,OH_Short,H,2129.2143,58.262883,CR-1
CH2OH,H,cNH,e,1780.7794,74.260872,CR-1
CH2OH,H,cCHNH,H,1647.3420,193.183259,CR-1
CH2OH_Short,e,CH2OH_Short,H,2097.9120,62.309000,self
CH2OH_Short,e,NH2,H,1498.8275,77.607325,CR-1
CH2OH_Short,e,NH,H,1695.5051,28.699539,CR-1
CH2OH_Short,e,OH,e1,2129.2224,58.264019,CR-1
CH2OH_Short,e,OH_Short,H,2129.2204,58.262883,CR-1
CH2OH_Short,e,cNH,e,1780.7845,74.260872,CR-1
CH2OH_Short,e,cCHNH,H,1647.3467,193.183259,CR-1
NH2,e,NH2,H,1070.8189,95.224709,self
NH2,H,NH,e,1639.8552,37.900000,database
NH2,e,NH,H,1682.0814,0.582000,database
NH2,e,OH,H,1282.7000,254.280000,database
NH2,H,OH,e1,1354.0000,141.350000,database
NH2,e,OH_Short,H,1282.7148,254.282227,database
NH2,H,OH_Short,e,1354.0039,141.352541,database
NH2,e,cNH,e,1272.2596,91.385554,CR-1
NH2,e,cCHNH,H,1176.9266,224.960476,CR-1
NH,e,NH,H,1370.2850,10.062070,self
NH,H,OH,e1,861.1200,556.320000,database
NH,e,OH,H,1477.7000,449.810000,database
NH,e,OH_Short,H,1477.7265,449.812662,database
NH,H,OH_Short,e,861.1189,556.315506,database
NH,e,cNH,e,1439.2067,35.952608,CR-1
NH,e,cCHNH,H,1331.3641,116.074203,CR-1
N,e,OH,H,1357.2000,599.190000,database
N,e,OH_Short,H,1357.1622,599.186731,database
OH,H,OH,e1,2161.0000,54.398000,self
OH,H,OH_Short,H,2160.9980,54.396915,CR-1
OH,H,cNH,e,1807.3618,69.708135,CR-1
OH,H,cCHNH,H,1671.9326,184.522281,CR-1
OH_Short,e,OH_Short,H,2160.9960,54.395830,self
OH_Short,e,cNH,e,1807.3602,69.706855,CR-1
OH_Short,e,cCHNH,H,1671.9310,184.519831,CR-1
cNH,H,cNH,e,1511.5950,87.651000,self
cNH,H,cN,e,901.3522,1.155500,database
cNH,H,cCHNH,H,1398.3281,218.127341,CR-1
cCHNH,e,cCHNH,H,1293.5486,438.490000,self
