Group_k,Site_a,Group_l,Site_b,eps_HB_kl_ab/kB [K],K_kl_ab [A^3],source
NH2_2nd,e,NH2_2nd,H,1070.8189,95.224709,self
NH2_2nd,e,NH_2nd,H,1211.3328,38.024244,CR-1
NH2_2nd,H,CH2OH_Short,e,629.8818,346.079404,database
NH2_2nd,e,CH2OH_Short,H,2403.7801,26.191867,database
NH2_2nd,e,NH2,H,1070.8189,95.224709,CR-1
NH2_2nd,e,NH,H,1211.3328,38.024244,CR-1
NH2_2nd,e,CHOH,H,1470.3000,303.470000,database
NH2_2nd,H,CHOH,e,1524.9000,103.220000,database
NH2_2nd,e,OH_Short,H,1521.1954,72.916065,CR-1
NH_2nd,e,NH_2nd,H,1370.2850,10.062070,self
NH_2nd,e,CH2OH_Short,H,1390.1000,947.930000,database
NH_2nd,H,CH2OH_Short,e,341.1300,1499.800000,database
NH_2nd,e,NH2,H,1211.3328,38.024244,CR-1
NH_2nd,e,NH,H,1370.2850,10.062070,CR-1
NH_2nd,e,OH_Short,H,1720.8081,26.302198,CR-1
N_2nd,e,CH2OH_Short,H,1210.9000,950.430000,database
CH2OH,H,CH2OH,e1,2097.9000,62.309000,self
CH2OH,H,NH2,e,2403.8000,26.192000,database
CH2OH,e1,NH2,H,629.8800,346.080000,database
CH2OH,e1,NH,H,341.1300,1499.800000,database
CH2OH,H,NH,e,1390.1000,947.930000,database
CH2OH,H,N,e,1247.2000,286.830000,database
CH2OH,H,CHOH,e,2500.0000,10.444000,database
CH2OH,e1,CHOH,H,1464.1000,561.550000,database
CH2OH_Short,e,CH2OH_Short,H,2097.9120,62.309000,self
CH2OH_Short,e,NH2,H,1498.8275,77.607325,CR-1
CH2OH_Short,e,NH,H,1695.5051,28.699539,CR-1
CH2OH_Short,H,CHOH,e,2500.0000,10.444000,database
CH2OH_Short,e,CHOH,H,1464.1000,561.550000,database
CH2OH_Short,e,OH_Short,H,2129.2204,58.262883,CR-1
NH2,e,NH2,H,1070.8189,95.224709,self
NH2,H,NH,e,1639.8552,37.900000,database
NH2,e,NH,H,1682.0814,0.582000,database
NH2,e,CHOH,H,1470.3000,303.470000,database
NH2,H,CHOH,e,1524.9000,103.220000,database
NH2,e,OH_Short,H,1282.7148,254.282227,database
NH2,H,OH_Short,e,1354.0039,141.352541,database
NH,e,NH,H,1370.2850,10.062070,self
NH,e,OH_Short,H,1477.7265,449.812662,database
NH,H,OH_Short,e,861.1189,556.315506,database
N,e,OH_Short,H,1357.1622,599.186731,database
CHOH,H,CHOH,e,2480.6000,8.474000,self
OH_Short,e,OH_Short,H,2160.9960,54.395830,self
