Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
NH2_2nd,NH2_2nd,-1.634140e+03,2.230707e-26,284.7837,3.2477,3.1604,10.2538,6.0000
NH2_2nd,NH_2nd,-7.804999e+02,6.913311e-27,168.7573,3.2523,3.1396,14.1044,6.0000
NH2_2nd,N_2nd,-7.454922e+02,0.000000e+00,133.7651,3.1616,2.9818,9.5403,6.0000
NH2_2nd,CH3,-1.262336e+03,0.000000e+00,244.1495,3.6625,3.5833,12.3492,6.0000
NH2_2nd,CH2,-1.712672e+03,0.000000e+00,348.3900,4.0639,4.0179,14.0625,6.0000
NH2_2nd,CH,-8.811743e+02,0.000000e+00,151.0092,4.2714,4.0194,9.0224,6.0000
NH2_2nd,C,-5.820226e+02,0.000000e+00,106.4887,4.4524,4.1349,9.0224,6.0000
NH2_2nd,CH2OH,-1.623297e+03,8.385317e-26,340.2563,3.3266,3.2814,14.9538,6.0000
NH2_2nd,CH2OH_Short,-1.715150e+03,3.321432e-25,528.2123,3.3266,3.2814,52.3049,6.0000
NH2_2nd,NH2,-1.634140e+03,2.230707e-26,284.7837,3.2477,3.1604,10.2538,6.0000
NH2_2nd,NH,-7.804999e+02,6.913311e-27,168.7573,3.2523,3.1396,14.1044,6.0000
NH2_2nd,N,-7.454922e+02,0.000000e+00,133.7651,3.1616,2.9818,9.5403,6.0000
NH2_2nd,CHOH,-2.360157e+03,3.968588e-25,415.5400,3.8929,3.8482,10.6430,6.0000
NH2_2nd,OH_Short,-1.644733e+03,4.213079e-26,339.0230,3.0238,2.9781,14.3317,6.0000
NH_2nd,NH_2nd,-3.546097e+02,3.010565e-27,100.0029,3.2568,3.1187,19.9990,6.0000
NH_2nd,N_2nd,-3.039042e+02,0.000000e+00,79.2576,3.1661,2.9610,13.0122,6.0000
NH_2nd,CH3,-2.273517e+03,0.000000e+00,530.8688,3.6670,3.5624,17.3121,6.0000
NH_2nd,CH2,-1.664120e+03,0.000000e+00,394.5846,4.0684,3.9971,19.9349,6.0000
NH_2nd,CH,-3.675975e+02,0.000000e+00,89.5747,4.2759,3.9985,12.2193,6.0000
NH_2nd,C,-2.165423e+02,0.000000e+00,63.1745,4.4569,4.1140,12.2193,6.0000
NH_2nd,CH2OH,-8.188021e+02,5.775106e-26,201.6493,3.3311,3.2606,21.2993,6.0000
NH_2nd,CH2OH_Short,-1.271960e+03,3.623243e-25,313.2500,3.3311,3.2606,21.2993,6.0000
NH_2nd,NH2,-7.804999e+02,1.382662e-26,168.7573,3.2523,3.1396,14.1044,6.0000
