Group_k,Group_l,eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl,C_kl (Mie prefactor),source_eps,source_sigma,source_lambdaR,source_lambdaA
NH2_2nd,NH2_2nd,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,self,self,self,self
NH2_2nd,NH_2nd,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH2_2nd,N_2nd,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2_2nd,CH3,244.1495,3.6625,3.5833,12.3492,6.0000,3.847404,database,CR,CR,CR
NH2_2nd,CH2,348.3900,4.0639,4.0179,14.0625,6.0000,3.287573,database,CR,CR,CR
NH2_2nd,CH,151.0092,4.2714,4.0194,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2_2nd,C,106.4887,4.4524,4.1349,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2_2nd,CH2OH,340.2563,3.3266,3.2814,14.9538,6.0000,3.079711,CR,CR,CR,CR
NH2_2nd,CH2OH_Short,528.2123,3.3266,3.2814,52.3049,6.0000,1.495435,database,CR,database,CR
NH2_2nd,NH2,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,CR,CR,CR,CR
NH2_2nd,NH,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH2_2nd,N,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2_2nd,OH,339.0127,3.0234,2.9777,14.3317,6.0000,3.220211,CR,CR,CR,CR
NH2_2nd,OH_Short,339.0230,3.0238,2.9781,14.3317,6.0000,3.220211,CR,CR,CR,CR
NH2_2nd,cCH2,348.6341,4.0165,3.9710,14.2301,6.0000,3.245131,CR,CR,CR,CR
NH2_2nd,cCH,405.3020,4.3297,4.2700,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2_2nd,cNH,396.3025,4.1144,4.0702,13.9372,6.0000,3.320471,CR,CR,CR,CR
NH2_2nd,cN,212.6450,3.9299,3.7474,8.3882,6.0000,8.150641,CR,CR,CR,CR
NH2_2nd,cCHNH,400.3963,4.3739,4.3183,9.7264,6.0000,5.681567,CR,CR,CR,CR
NH2_2nd,cCHN,433.4098,3.8466,3.7903,9.0233,6.0000,6.707780,CR,CR,CR,CR
NH_2nd,NH_2nd,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,self,self,self,self
NH_2nd,N_2nd,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH_2nd,CH3,530.8688,3.6670,3.5624,17.3121,6.0000,2.684722,database,CR,CR,CR
NH_2nd,CH2,394.5846,4.0684,3.9971,19.9349,6.0000,2.399043,database,CR,CR,CR
NH_2nd,CH,89.5747,4.2759,3.9985,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH_2nd,C,63.1745,4.4569,4.1140,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH_2nd,CH2OH,201.6493,3.3311,3.2606,21.2993,6.0000,2.288096,CR,CR,CR,CR
NH_2nd,CH2OH_Short,313.2500,3.3311,3.2606,21.2993,6.0000,2.288096,database,CR,CR,CR
NH_2nd,NH2,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH_2nd,NH,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,CR,CR,CR,CR
NH_2nd,N,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH_2nd,OH,200.8301,3.0279,2.9568,20.3469,6.0000,2.363390,CR,CR,CR,CR
NH_2nd,OH_Short,200.8364,3.0283,2.9572,20.3469,6.0000,2.363390,CR,CR,CR,CR
NH_2nd,cCH2,206.7590,4.0210,3.9501,20.1914,6.0000,2.376613,CR,CR,CR,CR
NH_2nd,cCH,240.4249,4.3342,4.2491,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH_2nd,cNH,235.0479,4.1189,4.0493,19.7430,6.0000,2.416352,CR,CR,CR,CR
NH_2nd,cN,126.1007,3.9344,3.7265,11.2484,6.0000,4.396300,CR,CR,CR,CR
NH_2nd,cCHNH,237.5223,4.3784,4.2974,13.2971,6.0000,3.505745,CR,CR,CR,CR
NH_2nd,cCHN,256.9973,3.8511,3.7694,12.2207,6.0000,3.901570,CR,CR,CR,CR
N_2nd,N_2nd,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,self,self,self,self
N_2nd,CH3,462.1767,3.5764,3.4047,11.4296,6.0000,4.290851,database,CR,CR,CR
N_2nd,CH2,348.3000,3.9778,3.8393,12.9745,6.0000,3.611764,database,CR,CR,CR
N_2nd,CH,69.5590,4.1852,3.8408,8.4300,6.0000,8.032436,CR,CR,CR,CR
N_2nd,C,48.9287,4.3663,3.9563,8.4300,6.0000,8.032436,CR,CR,CR,CR
N_2nd,CH2OH,159.5119,3.2404,3.1028,13.7781,6.0000,3.363727,CR,CR,CR,CR
N_2nd,CH2OH_Short,440.9900,3.2404,3.1028,13.7781,6.0000,3.363727,database,CR,CR,CR
N_2nd,NH2,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
N_2nd,NH,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
N_2nd,N,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,CR,CR,CR,CR
N_2nd,OH,160.2065,2.9372,2.7991,13.2171,6.0000,3.531141,CR,CR,CR,CR
N_2nd,OH_Short,160.2096,2.9376,2.7995,13.2171,6.0000,3.531141,CR,CR,CR,CR
N_2nd,cCH2,161.2212,3.9303,3.7924,13.1255,6.0000,3.560940,CR,CR,CR,CR
N_2nd,cCH,186.5381,4.2435,4.0914,8.4300,6.0000,8.032436,CR,CR,CR,CR
N_2nd,cNH,182.9785,4.0282,3.8916,12.8615,6.0000,3.651222,CR,CR,CR,CR
N_2nd,cN,98.4774,3.8437,3.5688,7.8582,6.0000,10.105615,CR,CR,CR,CR
N_2nd,cCHNH,184.1669,4.2877,4.1397,9.0649,6.0000,6.634159,CR,CR,CR,CR
N_2nd,cCHN,201.0077,3.7605,3.6117,8.4309,6.0000,8.030056,CR,CR,CR,CR
CH3,CH3,256.7662,4.0773,4.0061,15.0498,6.0000,3.059701,self,self,self,self
CH3,CH2,350.7720,4.4787,4.4408,17.2581,6.0000,2.691953,database,CR,CR,CR
CH3,CH,387.4800,4.6861,4.4422,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,C,339.9100,4.8672,4.5577,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,CH2OH,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,CH2OH_Short,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,NH2,244.1495,3.6625,3.5833,12.3492,6.0000,3.847404,database,CR,CR,CR
CH3,NH,157.2429,3.6670,3.5624,17.3121,6.0000,2.684722,CR,CR,CR,CR
CH3,N,462.1767,3.5764,3.4047,11.4296,6.0000,4.290851,database,CR,CR,CR
CH3,OH,314.6680,3.4381,3.4005,17.6050,6.0000,2.646606,database,CR,CR,CR
CH3,OH_Short,314.6680,3.4385,3.4009,17.6050,6.0000,2.646606,database,CR,CR,CR
