Group_k,Group_l,eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl,C_kl (Mie prefactor),source_eps,source_sigma,source_lambdaR,source_lambdaA
NH2_2nd,NH2_2nd,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,self,self,self,self
NH2_2nd,NH_2nd,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH2_2nd,N_2nd,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2_2nd,CH3,244.1495,3.6625,3.5833,12.3492,6.0000,3.847404,database,CR,CR,CR
NH2_2nd,CH2,348.3900,4.0639,4.0179,14.0625,6.0000,3.287573,database,CR,CR,CR
NH2_2nd,CH,151.0092,4.2714,4.0194,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2_2nd,C,106.4887,4.4524,4.1349,9.0224,6.0000,6.709490,CR,CR,CR,CR
NH2_2nd,CH2OH,340.2563,3.3266,3.2814,14.9538,6.0000,3.079711,CR,CR,CR,CR
NH2_2nd,CH2OH_Short,528.2123,3.3266,3.2814,52.3049,6.0000,1.495435,database,CR,database,CR
NH2_2nd,NH2,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,CR,CR,CR,CR
NH2_2nd,NH,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH2_2nd,N,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2_2nd,CHOH,415.5400,3.8929,3.8482,10.6430,6.0000,4.807590,database,CR,database,CR
NH2_2nd,OH_Short,339.0230,3.0238,2.9781,14.3317,6.0000,3.220211,CR,CR,CR,CR
NH_2nd,NH_2nd,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,self,self,self,self
NH_2nd,N_2nd,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH_2nd,CH3,530.8688,3.6670,3.5624,17.3121,6.0000,2.684722,database,CR,CR,CR
NH_2nd,CH2,394.5846,4.0684,3.9971,19.9349,6.0000,2.399043,database,CR,CR,CR
NH_2nd,CH,89.5747,4.2759,3.9985,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH_2nd,C,63.1745,4.4569,4.1140,12.2193,6.0000,3.902197,CR,CR,CR,CR
NH_2nd,CH2OH,201.6493,3.3311,3.2606,21.2993,6.0000,2.288096,CR,CR,CR,CR
NH_2nd,CH2OH_Short,313.2500,3.3311,3.2606,21.2993,6.0000,2.288096,database,CR,CR,CR
NH_2nd,NH2,168.7573,3.2523,3.1396,14.1044,6.0000,3.276808,CR,CR,CR,CR
NH_2nd,NH,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,CR,CR,CR,CR
NH_2nd,N,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH_2nd,CHOH,235.0253,3.8974,3.8273,19.0664,6.0000,2.481311,CR,CR,CR,CR
NH_2nd,OH_Short,200.8364,3.0283,2.9572,20.3469,6.0000,2.363390,CR,CR,CR,CR
N_2nd,N_2nd,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,self,self,self,self
N_2nd,CH3,462.1767,3.5764,3.4047,11.4296,6.0000,4.290851,database,CR,CR,CR
N_2nd,CH2,348.3000,3.9778,3.8393,12.9745,6.0000,3.611764,database,CR,CR,CR
N_2nd,CH,69.5590,4.1852,3.8408,8.4300,6.0000,8.032436,CR,CR,CR,CR
N_2nd,C,48.9287,4.3663,3.9563,8.4300,6.0000,8.032436,CR,CR,CR,CR
N_2nd,CH2OH,159.5119,3.2404,3.1028,13.7781,6.0000,3.363727,CR,CR,CR,CR
N_2nd,CH2OH_Short,440.9900,3.2404,3.1028,13.7781,6.0000,3.363727,database,CR,CR,CR
N_2nd,NH2,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
N_2nd,NH,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
N_2nd,N,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,CR,CR,CR,CR
N_2nd,CHOH,183.6646,3.8068,3.6696,12.4629,6.0000,3.801189,CR,CR,CR,CR
N_2nd,OH_Short,160.2096,2.9376,2.7995,13.2171,6.0000,3.531141,CR,CR,CR,CR
CH3,CH3,256.7662,4.0773,4.0061,15.0498,6.0000,3.059701,self,self,self,self
CH3,CH2,350.7720,4.4787,4.4408,17.2581,6.0000,2.691953,database,CR,CR,CR
CH3,CH,387.4800,4.6861,4.4422,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,C,339.9100,4.8672,4.5577,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,CH2OH,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,CH2OH_Short,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,NH2,244.1495,3.6625,3.5833,12.3492,6.0000,3.847404,database,CR,CR,CR
CH3,NH,157.2429,3.6670,3.5624,17.3121,6.0000,2.684722,CR,CR,CR,CR
CH3,N,462.1767,3.5764,3.4047,11.4296,6.0000,4.290851,database,CR,CR,CR
CH3,CHOH,479.3800,4.3077,4.2710,16.5269,6.0000,2.797051,database,CR,CR,CR
CH3,OH_Short,314.6680,3.4385,3.4009,17.6050,6.0000,2.646606,database,CR,CR,CR
CH2,CH2,473.3893,4.8801,4.8754,19.8711,6.0000,2.404751,self,self,self,self
CH2,CH,506.2100,5.0875,4.8769,12.1845,6.0000,3.917243,database,CR,CR,CR
CH2,C,300.0700,5.2686,4.9924,12.1845,6.0000,3.917243,database,CR,CR,CR
CH2,CH2OH,423.1700,4.1427,4.1389,21.2303,6.0000,2.293245,database,CR,CR,CR
CH2,CH2OH_Short,423.1700,4.1427,4.1389,21.2303,6.0000,2.293245,database,CR,CR,CR
CH2,NH2,348.3891,4.0639,4.0179,14.0625,6.0000,3.287573,database,CR,CR,CR
CH2,NH,394.5846,4.0684,3.9971,19.9349,6.0000,2.399043,database,CR,CR,CR
CH2,N,348.3000,3.9778,3.8393,12.9745,6.0000,3.611764,database,CR,CR,CR
CH2,CHOH,512.6700,4.7091,4.7057,19.0058,6.0000,2.487445,database,CR,CR,CR
CH2,OH_Short,396.2700,3.8399,3.8356,20.2815,6.0000,2.368916,database,CR,CR,CR
CH,CH,95.6210,5.2950,4.8783,8.0000,6.0000,9.481481,self,self,self,self
CH,C,2.0000,5.4760,4.9938,8.0000,6.0000,9.481481,database,CR,CR,CR
CH,CH2OH,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,CH2OH_Short,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,NH2,151.0092,4.2714,4.0194,9.0224,6.0000,6.709490,CR,CR,CR,CR
CH,NH,89.5747,4.2759,3.9985,12.2193,6.0000,3.902197,CR,CR,CR,CR
CH,N,69.5590,4.1852,3.8408,8.4300,6.0000,8.032436,CR,CR,CR,CR
CH,CHOH,237.3328,4.9165,4.7071,11.7135,6.0000,4.138937,CR,CR,CR,CR
CH,OH_Short,198.0800,4.0474,3.8370,12.4080,6.0000,3.823312,database,CR,CR,CR
C,C,50.0200,5.6571,5.1093,8.0000,6.0000,9.481481,self,self,self,self
