Group,nu_k,S_k,eps_kk/kB [K],sigma_kk [A],lambda_r_kk,lambda_a_kk,assoc_sites
NH2_2nd,1.0000,0.7967,284.7837,3.2477,10.2538,6.0000,ex1; Hx2
NH_2nd,1.0000,0.3659,100.0029,3.2568,19.9990,6.0000,ex1; Hx1
N_2nd,1.0000,0.1507,62.9706,3.0755,8.8971,6.0000,ex1
CH3,1.0000,0.5726,256.7662,4.0773,15.0498,6.0000,—
CH2,1.0000,0.2293,473.3893,4.8801,19.8711,6.0000,—
CH,1.0000,0.0721,95.6210,5.2950,8.0000,6.0000,—
C,1.0000,0.0407,50.0200,5.6571,8.0000,6.0000,—
CH2OH,2.0000,0.5854,407.2200,3.4054,22.6990,6.0000,Hx1; e1x2
CH2OH_Short,2.0000,0.5854,407.2200,3.4054,22.6990,6.0000,ex2; Hx1
NH2,1.0000,0.7967,284.7837,3.2477,10.2538,6.0000,ex1; Hx2
NH,1.0000,0.3659,100.0029,3.2568,19.9990,6.0000,ex1; Hx1
N,1.0000,0.1507,62.9706,3.0755,8.8971,6.0000,ex1
CHOH,2.0000,0.1896,599.6600,4.5381,18.1850,6.0000,Hx1; ex2
OH_Short,1.0000,0.9634,410.3090,2.7998,20.7020,6.0000,ex2; Hx1
